,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
221,20,2000,0.222,0.35,0.344,0.354,0.18,0.336,0.11,0.304,0.328,0.254
222,30,2000,0.224,0.284,0.326,0.174,0.348,0.334,0.33,0.288,0.314,0.276
223,40,2000,0.174,0.324,0.346,0.27,0.288,0.25,0.184,0.27,0.148,0.296
224,50,2000,0.22,0.242,0.336,0.182,0.138,0.156,0.31,0.196,0.124,0.22
225,60,2000,0.15,0.286,0.214,0.22,0.302,0.114,0.19,0.196,0.258,0.142
226,70,2000,0.258,0.124,0.206,0.272,0.27,0.25,0.196,0.162,0.244,0.23
227,80,2000,0.224,0.202,0.208,0.148,0.186,0.158,0.22,0.144,0.124,0.128
228,90,2000,0.168,0.198,0.242,0.132,0.26,0.12,0.218,0.206,0.184,0.206
229,100,2000,0.168,0.136,0.128,0.174,0.216,0.136,0.096,0.13,0.164,0.144
230,110,2000,0.098,0.182,0.128,0.234,0.242,0.204,0.106,0.13,0.17,0.144
231,120,2000,0.152,0.134,0.128,0.11,0.116,0.142,0.196,0.228,0.134,0.182
232,130,2000,0.234,0.17,0.144,0.148,0.092,0.23,0.088,0.074,0.118,0.166
233,140,2000,0.148,0.25,0.1,0.126,0.084,0.096,0.11,0.082,0.094,0.148
234,150,2000,0.128,0.114,0.1,0.134,0.104,0.218,0.146,0.122,0.132,0.122
235,160,2000,0.108,0.12,0.142,0.084,0.144,0.096,0.134,0.172,0.122,0.176
236,170,2000,0.128,0.176,0.094,0.128,0.166,0.102,0.112,0.15,0.08,0.092
237,180,2000,0.11,0.09,0.176,0.124,0.094,0.092,0.096,0.262,0.098,0.152
238,190,2000,0.108,0.076,0.118,0.096,0.198,0.114,0.132,0.108,0.09,0.112
239,200,2000,0.098,0.144,0.162,0.132,0.086,0.18,0.218,0.104,0.116,0.11
240,10,2500,0.4864,0.4256,0.3296,0.2816,0.3424,0.448,0.288,0.368,0.1472,0.432
241,20,2500,0.2656,0.1808,0.2592,0.3376,0.3264,0.2928,0.3968,0.4,0.4416,0.2736
