,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
93,140,100,0.24,0.04,0.16,0.12,0.08,0.08,0.0,0.16,0.04,0.2
94,150,100,0.04,0.16,0.04,0.08,0.12,0.12,0.12,0.04,0.2,0.08
95,160,100,0.12,0.04,0.12,0.12,0.2,0.08,0.0,0.12,0.04,0.08
96,170,100,0.08,0.04,0.0,0.08,0.08,0.16,0.12,0.04,0.12,0.04
97,180,100,0.12,0.08,0.16,0.04,0.12,0.04,0.16,0.04,0.08,0.08
98,190,100,0.2,0.2,0.16,0.08,0.12,0.08,0.12,0.12,0.08,0.12
99,200,100,0.08,0.2,0.08,0.0,0.16,0.08,0.08,0.12,0.16,0.12
100,10,120,0.03333333333333333,0.1,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.2,0.16666666666666666
101,20,120,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.06666666666666667
102,30,120,0.03333333333333333,0.13333333333333333,0.1,0.16666666666666666,0.1,0.03333333333333333,0.1,0.06666666666666667,0.0,0.06666666666666667
103,40,120,0.03333333333333333,0.2,0.03333333333333333,0.16666666666666666,0.0,0.1,0.0,0.03333333333333333,0.03333333333333333,0.1
104,50,120,0.1,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.1,0.16666666666666666,0.1,0.03333333333333333
105,60,120,0.1,0.1,0.16666666666666666,0.1,0.06666666666666667,0.1,0.03333333333333333,0.13333333333333333,0.16666666666666666,0.03333333333333333
106,70,120,0.0,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.1,0.13333333333333333,0.13333333333333333,0.1
107,80,120,0.1,0.1,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.06666666666666667,0.1,0.06666666666666667,0.1
108,90,120,0.1,0.1,0.1,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.1,0.1,0.1
109,100,120,0.0,0.0,0.1,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667
110,110,120,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.1,0.06666666666666667,0.1,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333
111,120,120,0.03333333333333333,0.1,0.13333333333333333,0.06666666666666667,0.0,0.1,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
112,130,120,0.1,0.13333333333333333,0.1,0.1,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
113,140,120,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.1,0.03333333333333333,0.13333333333333333,0.1,0.03333333333333333,0.06666666666666667,0.03333333333333333
114,150,120,0.03333333333333333,0.06666666666666667,0.1,0.1,0.03333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.16666666666666666
115,160,120,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.1,0.03333333333333333,0.06666666666666667,0.1,0.06666666666666667,0.1
