,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
322,30,340,0.36470588235294116,0.2235294117647059,0.36470588235294116,0.3058823529411765,0.29411764705882354,0.21176470588235294,0.17647058823529413,0.29411764705882354,0.16470588235294117,0.29411764705882354
323,40,340,0.18823529411764706,0.2823529411764706,0.2,0.15294117647058825,0.3058823529411765,0.35294117647058826,0.3411764705882353,0.2823529411764706,0.25882352941176473,0.2235294117647059
324,50,340,0.21176470588235294,0.10588235294117647,0.32941176470588235,0.29411764705882354,0.21176470588235294,0.24705882352941178,0.25882352941176473,0.18823529411764706,0.09411764705882353,0.2823529411764706
325,60,340,0.12941176470588237,0.3176470588235294,0.36470588235294116,0.27058823529411763,0.17647058823529413,0.32941176470588235,0.24705882352941178,0.23529411764705882,0.10588235294117647,0.23529411764705882
326,70,340,0.11764705882352941,0.16470588235294117,0.15294117647058825,0.2823529411764706,0.3058823529411765,0.21176470588235294,0.21176470588235294,0.17647058823529413,0.21176470588235294,0.07058823529411765
327,80,340,0.2,0.16470588235294117,0.2,0.3764705882352941,0.10588235294117647,0.18823529411764706,0.18823529411764706,0.15294117647058825,0.23529411764705882,0.1411764705882353
328,90,340,0.2,0.07058823529411765,0.2235294117647059,0.24705882352941178,0.15294117647058825,0.21176470588235294,0.16470588235294117,0.12941176470588237,0.18823529411764706,0.3176470588235294
329,100,340,0.10588235294117647,0.2235294117647059,0.12941176470588237,0.17647058823529413,0.11764705882352941,0.16470588235294117,0.17647058823529413,0.15294117647058825,0.12941176470588237,0.12941176470588237
330,110,340,0.12941176470588237,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.15294117647058825,0.25882352941176473,0.12941176470588237,0.18823529411764706,0.10588235294117647,0.058823529411764705
331,120,340,0.15294117647058825,0.2,0.15294117647058825,0.18823529411764706,0.11764705882352941,0.1411764705882353,0.15294117647058825,0.08235294117647059,0.10588235294117647,0.27058823529411763
332,130,340,0.09411764705882353,0.17647058823529413,0.27058823529411763,0.058823529411764705,0.10588235294117647,0.09411764705882353,0.3058823529411765,0.1411764705882353,0.16470588235294117,0.2
