,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
369,100,5500,0.088,0.09527272727272727,0.08727272727272728,0.09018181818181818,0.07781818181818181,0.09090909090909091,0.09163636363636364,0.09309090909090909,0.088,0.09527272727272727
370,110,5500,0.09018181818181818,0.09963636363636363,0.07490909090909091,0.08945454545454545,0.09163636363636364,0.09454545454545454,0.09454545454545454,0.09236363636363637,0.09745454545454546,0.104
371,120,5500,0.07781818181818181,0.08072727272727273,0.09163636363636364,0.07927272727272727,0.08581818181818182,0.08072727272727273,0.07490909090909091,0.09163636363636364,0.07272727272727272,0.08363636363636363
372,130,5500,0.08581818181818182,0.07636363636363637,0.08,0.08872727272727272,0.07490909090909091,0.07272727272727272,0.08727272727272728,0.07345454545454545,0.08945454545454545,0.09381818181818181
373,140,5500,0.08145454545454546,0.09454545454545454,0.07636363636363637,0.08436363636363636,0.07563636363636364,0.09018181818181818,0.08436363636363636,0.07418181818181818,0.07054545454545455,0.08218181818181818
374,150,5500,0.07927272727272727,0.0829090909090909,0.07709090909090908,0.08436363636363636,0.08436363636363636,0.07927272727272727,0.07781818181818181,0.07854545454545454,0.08654545454545455,0.08072727272727273
375,160,5500,0.07563636363636364,0.08145454545454546,0.08145454545454546,0.08363636363636363,0.08436363636363636,0.07563636363636364,0.07709090909090908,0.08872727272727272,0.07345454545454545,0.06836363636363636
376,170,5500,0.08145454545454546,0.06981818181818182,0.08509090909090909,0.064,0.08145454545454546,0.07563636363636364,0.07127272727272728,0.06909090909090909,0.06763636363636363,0.08654545454545455
377,180,5500,0.07927272727272727,0.08218181818181818,0.07418181818181818,0.07054545454545455,0.09309090909090909,0.08072727272727273,0.08945454545454545,0.07927272727272727,0.08218181818181818,0.07709090909090908
378,190,5500,0.07563636363636364,0.08,0.07127272727272728,0.06909090909090909,0.09381818181818181,0.0829090909090909,0.07563636363636364,0.07345454545454545,0.08727272727272728,0.07709090909090908
379,200,5500,0.08509090909090909,0.09090909090909091,0.07054545454545455,0.06545454545454546,0.06763636363636363,0.06545454545454546,0.07054545454545455,0.07781818181818181,0.08436363636363636,0.06909090909090909
