,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
204,50,220,0.10909090909090909,0.18181818181818182,0.07272727272727272,0.12727272727272726,0.14545454545454545,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.09090909090909091,0.07272727272727272
205,60,220,0.07272727272727272,0.10909090909090909,0.10909090909090909,0.12727272727272726,0.05454545454545454,0.09090909090909091,0.12727272727272726,0.14545454545454545,0.10909090909090909,0.16363636363636364
206,70,220,0.10909090909090909,0.09090909090909091,0.12727272727272726,0.09090909090909091,0.05454545454545454,0.09090909090909091,0.10909090909090909,0.16363636363636364,0.05454545454545454,0.07272727272727272
207,80,220,0.09090909090909091,0.05454545454545454,0.10909090909090909,0.12727272727272726,0.10909090909090909,0.09090909090909091,0.10909090909090909,0.12727272727272726,0.14545454545454545,0.14545454545454545
208,90,220,0.05454545454545454,0.12727272727272726,0.09090909090909091,0.07272727272727272,0.09090909090909091,0.07272727272727272,0.10909090909090909,0.09090909090909091,0.07272727272727272,0.03636363636363636
209,100,220,0.10909090909090909,0.01818181818181818,0.07272727272727272,0.07272727272727272,0.05454545454545454,0.12727272727272726,0.0,0.09090909090909091,0.12727272727272726,0.12727272727272726
210,110,220,0.09090909090909091,0.12727272727272726,0.14545454545454545,0.09090909090909091,0.07272727272727272,0.09090909090909091,0.12727272727272726,0.05454545454545454,0.05454545454545454,0.09090909090909091
211,120,220,0.05454545454545454,0.05454545454545454,0.03636363636363636,0.03636363636363636,0.05454545454545454,0.09090909090909091,0.09090909090909091,0.05454545454545454,0.07272727272727272,0.09090909090909091
212,130,220,0.01818181818181818,0.03636363636363636,0.09090909090909091,0.12727272727272726,0.05454545454545454,0.10909090909090909,0.05454545454545454,0.05454545454545454,0.09090909090909091,0.09090909090909091
213,140,220,0.05454545454545454,0.07272727272727272,0.10909090909090909,0.12727272727272726,0.09090909090909091,0.07272727272727272,0.03636363636363636,0.07272727272727272,0.03636363636363636,0.05454545454545454
214,150,220,0.07272727272727272,0.12727272727272726,0.07272727272727272,0.09090909090909091,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.12727272727272726,0.09090909090909091,0.03636363636363636
215,160,220,0.2,0.09090909090909091,0.05454545454545454,0.10909090909090909,0.01818181818181818,0.09090909090909091,0.01818181818181818,0.05454545454545454,0.18181818181818182,0.07272727272727272
216,170,220,0.03636363636363636,0.07272727272727272,0.05454545454545454,0.10909090909090909,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.03636363636363636,0.10909090909090909,0.05454545454545454
217,180,220,0.12727272727272726,0.05454545454545454,0.07272727272727272,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.03636363636363636,0.12727272727272726,0.03636363636363636,0.10909090909090909
218,190,220,0.05454545454545454,0.05454545454545454,0.05454545454545454,0.07272727272727272,0.09090909090909091,0.01818181818181818,0.09090909090909091,0.07272727272727272,0.03636363636363636,0.10909090909090909
219,200,220,0.05454545454545454,0.09090909090909091,0.09090909090909091,0.05454545454545454,0.05454545454545454,0.09090909090909091,0.14545454545454545,0.03636363636363636,0.07272727272727272,0.10909090909090909
220,10,240,0.11666666666666667,0.16666666666666666,0.13333333333333333,0.1,0.1,0.1,0.16666666666666666,0.13333333333333333,0.06666666666666667,0.16666666666666666
221,20,240,0.1,0.06666666666666667,0.13333333333333333,0.15,0.13333333333333333,0.1,0.1,0.08333333333333333,0.1,0.13333333333333333
222,30,240,0.11666666666666667,0.08333333333333333,0.1,0.08333333333333333,0.13333333333333333,0.13333333333333333,0.15,0.15,0.08333333333333333,0.11666666666666667
223,40,240,0.06666666666666667,0.1,0.15,0.1,0.13333333333333333,0.15,0.16666666666666666,0.18333333333333332,0.08333333333333333,0.06666666666666667
224,50,240,0.08333333333333333,0.06666666666666667,0.05,0.06666666666666667,0.13333333333333333,0.1,0.05,0.1,0.08333333333333333,0.08333333333333333
225,60,240,0.13333333333333333,0.1,0.1,0.13333333333333333,0.11666666666666667,0.1,0.11666666666666667,0.13333333333333333,0.1,0.06666666666666667
226,70,240,0.2,0.11666666666666667,0.15,0.16666666666666666,0.1,0.13333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
227,80,240,0.15,0.15,0.1,0.05,0.06666666666666667,0.16666666666666666,0.1,0.11666666666666667,0.1,0.16666666666666666
228,90,240,0.11666666666666667,0.08333333333333333,0.1,0.13333333333333333,0.08333333333333333,0.15,0.08333333333333333,0.13333333333333333,0.1,0.05
229,100,240,0.13333333333333333,0.1,0.13333333333333333,0.03333333333333333,0.15,0.1,0.08333333333333333,0.13333333333333333,0.1,0.1
230,110,240,0.05,0.06666666666666667,0.016666666666666666,0.11666666666666667,0.05,0.1,0.13333333333333333,0.05,0.13333333333333333,0.15
231,120,240,0.11666666666666667,0.08333333333333333,0.11666666666666667,0.13333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.06666666666666667,0.03333333333333333,0.16666666666666666
232,130,240,0.06666666666666667,0.08333333333333333,0.06666666666666667,0.11666666666666667,0.05,0.06666666666666667,0.1,0.13333333333333333,0.03333333333333333,0.06666666666666667
233,140,240,0.11666666666666667,0.016666666666666666,0.08333333333333333,0.08333333333333333,0.03333333333333333,0.06666666666666667,0.08333333333333333,0.06666666666666667,0.08333333333333333,0.11666666666666667
234,150,240,0.08333333333333333,0.13333333333333333,0.05,0.06666666666666667,0.1,0.06666666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
235,160,240,0.06666666666666667,0.08333333333333333,0.06666666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.05,0.15,0.11666666666666667,0.06666666666666667
236,170,240,0.13333333333333333,0.06666666666666667,0.1,0.15,0.08333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667
237,180,240,0.1,0.06666666666666667,0.03333333333333333,0.1,0.13333333333333333,0.05,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667
238,190,240,0.016666666666666666,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.11666666666666667,0.15,0.15
