,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
335,160,4500,0.08355555555555555,0.08444444444444445,0.07377777777777778,0.08888888888888889,0.08355555555555555,0.10311111111111111,0.08355555555555555,0.09688888888888889,0.08088888888888889,0.088
336,170,4500,0.07644444444444444,0.0791111111111111,0.07022222222222223,0.06933333333333333,0.07111111111111111,0.07733333333333334,0.07022222222222223,0.09066666666666667,0.08266666666666667,0.07644444444444444
337,180,4500,0.0791111111111111,0.072,0.07822222222222222,0.09777777777777778,0.072,0.06933333333333333,0.09422222222222222,0.08266666666666667,0.0791111111111111,0.09244444444444444
338,190,4500,0.09155555555555556,0.08711111111111111,0.08444444444444445,0.08266666666666667,0.072,0.09244444444444444,0.08,0.07733333333333334,0.08355555555555555,0.09688888888888889
339,200,4500,0.07733333333333334,0.09333333333333334,0.08088888888888889,0.07555555555555556,0.08533333333333333,0.08355555555555555,0.064,0.07733333333333334,0.08622222222222223,0.072
340,10,5000,0.1424,0.1376,0.1456,0.1232,0.1352,0.1288,0.14,0.136,0.1344,0.1304
341,20,5000,0.1312,0.1288,0.1216,0.156,0.1192,0.1208,0.1288,0.144,0.1232,0.1288
342,30,5000,0.1176,0.1184,0.136,0.12,0.128,0.1288,0.1208,0.1288,0.1264,0.12
343,40,5000,0.1136,0.1088,0.1064,0.1184,0.104,0.108,0.1112,0.12,0.108,0.1176
344,50,5000,0.108,0.128,0.1144,0.116,0.1112,0.1048,0.124,0.0992,0.1144,0.1048
345,60,5000,0.0944,0.1088,0.1048,0.1096,0.1048,0.0976,0.1,0.1056,0.1192,0.0952
346,70,5000,0.1024,0.104,0.1056,0.0976,0.1112,0.096,0.104,0.096,0.1144,0.096
347,80,5000,0.0896,0.1096,0.0856,0.1176,0.1008,0.084,0.1104,0.1144,0.1016,0.1008
348,90,5000,0.1104,0.1008,0.1096,0.1064,0.1168,0.1016,0.096,0.0944,0.1048,0.1
349,100,5000,0.1,0.0952,0.1016,0.0976,0.0904,0.1168,0.116,0.0912,0.0992,0.1016
350,110,5000,0.1048,0.1048,0.0888,0.0912,0.0952,0.0896,0.1072,0.0992,0.0992,0.0984
351,120,5000,0.0928,0.0896,0.0984,0.1144,0.1032,0.0992,0.104,0.0936,0.1072,0.1008
352,130,5000,0.1048,0.0928,0.0984,0.0896,0.0976,0.0856,0.0832,0.0928,0.0912,0.0864
353,140,5000,0.0896,0.0872,0.0904,0.092,0.0936,0.0936,0.0952,0.0912,0.0864,0.0816
354,150,5000,0.0848,0.0912,0.0864,0.0904,0.0816,0.0928,0.0952,0.0736,0.092,0.084
355,160,5000,0.0792,0.0728,0.1016,0.096,0.0896,0.0736,0.0864,0.084,0.0776,0.08
356,170,5000,0.0872,0.088,0.096,0.0856,0.0736,0.0912,0.072,0.0904,0.096,0.0768
357,180,5000,0.0944,0.0672,0.0752,0.0888,0.0848,0.072,0.0664,0.0912,0.0808,0.0872
358,190,5000,0.0848,0.0712,0.0856,0.0896,0.0896,0.096,0.0816,0.0728,0.0928,0.092
359,200,5000,0.0848,0.0864,0.0824,0.0832,0.076,0.088,0.0768,0.0792,0.0848,0.0648
360,10,5500,0.12581818181818183,0.1330909090909091,0.12945454545454546,0.13090909090909092,0.1410909090909091,0.13818181818181818,0.12290909090909091,0.1338181818181818,0.144,0.13236363636363635
361,20,5500,0.12945454545454546,0.1330909090909091,0.12436363636363636,0.12363636363636364,0.112,0.112,0.136,0.12363636363636364,0.12872727272727272,0.13163636363636363
362,30,5500,0.12581818181818183,0.1389090909090909,0.09963636363636363,0.12290909090909091,0.12654545454545454,0.12654545454545454,0.1330909090909091,0.11127272727272727,0.11927272727272727,0.12363636363636364
363,40,5500,0.12145454545454545,0.09818181818181818,0.11054545454545454,0.12727272727272726,0.10545454545454545,0.11418181818181818,0.10254545454545455,0.13090909090909092,0.11418181818181818,0.11636363636363636
364,50,5500,0.10690909090909091,0.10836363636363637,0.09745454545454546,0.09963636363636363,0.096,0.11781818181818182,0.10327272727272727,0.12145454545454545,0.12072727272727272,0.10981818181818181
365,60,5500,0.10327272727272727,0.11127272727272727,0.10763636363636364,0.11636363636363636,0.10327272727272727,0.10254545454545455,0.10254545454545455,0.10036363636363636,0.10909090909090909,0.09818181818181818
366,70,5500,0.10181818181818182,0.0989090909090909,0.11127272727272727,0.09454545454545454,0.09672727272727273,0.11709090909090909,0.10981818181818181,0.11345454545454546,0.09454545454545454,0.09672727272727273
367,80,5500,0.11418181818181818,0.088,0.09018181818181818,0.11127272727272727,0.09236363636363637,0.10109090909090909,0.10618181818181818,0.10763636363636364,0.10327272727272727,0.10545454545454545
368,90,5500,0.11345454545454546,0.10327272727272727,0.10109090909090909,0.10545454545454545,0.10181818181818182,0.09818181818181818,0.09818181818181818,0.10836363636363637,0.104,0.10763636363636364
369,100,5500,0.09672727272727273,0.08872727272727272,0.09309090909090909,0.09818181818181818,0.10181818181818182,0.096,0.10036363636363636,0.096,0.09963636363636363,0.10909090909090909
370,110,5500,0.09672727272727273,0.10036363636363636,0.08945454545454545,0.08436363636363636,0.09745454545454546,0.10690909090909091,0.10327272727272727,0.09963636363636363,0.11054545454545454,0.11054545454545454
371,120,5500,0.07927272727272727,0.10036363636363636,0.104,0.08436363636363636,0.08581818181818182,0.09381818181818181,0.09818181818181818,0.09381818181818181,0.09236363636363637,0.10763636363636364
372,130,5500,0.09454545454545454,0.09018181818181818,0.08727272727272728,0.08872727272727272,0.08945454545454545,0.08509090909090909,0.09527272727272727,0.08436363636363636,0.09090909090909091,0.10909090909090909
373,140,5500,0.09309090909090909,0.10036363636363636,0.09018181818181818,0.09163636363636364,0.08727272727272728,0.10036363636363636,0.08872727272727272,0.08727272727272728,0.08363636363636363,0.09018181818181818
374,150,5500,0.09745454545454546,0.09381818181818181,0.07709090909090908,0.09963636363636363,0.0829090909090909,0.09454545454545454,0.08654545454545455,0.08727272727272728,0.08872727272727272,0.08218181818181818
375,160,5500,0.08363636363636363,0.10254545454545455,0.07927272727272727,0.08363636363636363,0.08872727272727272,0.07272727272727272,0.08363636363636363,0.09090909090909091,0.07854545454545454,0.07854545454545454
376,170,5500,0.08727272727272728,0.0669090909090909,0.08581818181818182,0.07854545454545454,0.08727272727272728,0.09454545454545454,0.07854545454545454,0.07854545454545454,0.08145454545454546,0.09381818181818181
377,180,5500,0.08072727272727273,0.09090909090909091,0.08581818181818182,0.07563636363636364,0.09527272727272727,0.08654545454545455,0.08509090909090909,0.07854545454545454,0.08436363636363636,0.07418181818181818
378,190,5500,0.07927272727272727,0.08363636363636363,0.07927272727272727,0.07927272727272727,0.09454545454545454,0.08363636363636363,0.08509090909090909,0.07563636363636364,0.10109090909090909,0.08145454545454546
379,200,5500,0.08436363636363636,0.088,0.07127272727272728,0.07127272727272728,0.072,0.07272727272727272,0.07127272727272728,0.07345454545454545,0.0829090909090909,0.07636363636363637
380,10,6000,0.12266666666666666,0.13733333333333334,0.124,0.12733333333333333,0.12533333333333332,0.11866666666666667,0.15133333333333332,0.13266666666666665,0.118,0.13
381,20,6000,0.134,0.134,0.122,0.12,0.13733333333333334,0.128,0.122,0.118,0.12866666666666668,0.13066666666666665
382,30,6000,0.124,0.12,0.11133333333333334,0.116,0.13333333333333333,0.12533333333333332,0.128,0.114,0.136,0.12866666666666668
383,40,6000,0.11866666666666667,0.10333333333333333,0.122,0.13333333333333333,0.11466666666666667,0.11666666666666667,0.112,0.11133333333333334,0.11,0.11933333333333333
384,50,6000,0.12533333333333332,0.11066666666666666,0.092,0.10866666666666666,0.104,0.11266666666666666,0.12733333333333333,0.114,0.11666666666666667,0.108
385,60,6000,0.09266666666666666,0.11133333333333334,0.11533333333333333,0.11533333333333333,0.11266666666666666,0.12,0.11,0.11933333333333333,0.096,0.10133333333333333
386,70,6000,0.11,0.094,0.08466666666666667,0.11133333333333334,0.102,0.098,0.10533333333333333,0.10466666666666667,0.11,0.102
387,80,6000,0.10866666666666666,0.09266666666666666,0.104,0.09666666666666666,0.09666666666666666,0.09733333333333333,0.10666666666666667,0.10066666666666667,0.098,0.10133333333333333
388,90,6000,0.116,0.114,0.11,0.104,0.102,0.09533333333333334,0.104,0.10666666666666667,0.098,0.10333333333333333
389,100,6000,0.10933333333333334,0.09666666666666666,0.092,0.11266666666666666,0.10266666666666667,0.10066666666666667,0.094,0.11266666666666666,0.096,0.11466666666666667
390,110,6000,0.09066666666666667,0.09733333333333333,0.09733333333333333,0.10333333333333333,0.10066666666666667,0.09866666666666667,0.098,0.106,0.102,0.10866666666666666
391,120,6000,0.08733333333333333,0.09933333333333333,0.10266666666666667,0.09866666666666667,0.10133333333333333,0.108,0.08466666666666667,0.092,0.08866666666666667,0.09333333333333334
392,130,6000,0.08933333333333333,0.10466666666666667,0.09266666666666666,0.108,0.10066666666666667,0.096,0.09733333333333333,0.08,0.08533333333333333,0.08933333333333333
393,140,6000,0.092,0.102,0.10266666666666667,0.096,0.07466666666666667,0.082,0.09466666666666666,0.08933333333333333,0.09266666666666666,0.08866666666666667
394,150,6000,0.09133333333333334,0.094,0.10333333333333333,0.10333333333333333,0.08666666666666667,0.09533333333333334,0.098,0.08533333333333333,0.09066666666666667,0.098
395,160,6000,0.088,0.09533333333333334,0.09533333333333334,0.08866666666666667,0.09133333333333334,0.1,0.082,0.09133333333333334,0.09533333333333334,0.08466666666666667
396,170,6000,0.09866666666666667,0.086,0.086,0.07666666666666666,0.07666666666666666,0.06866666666666667,0.09533333333333334,0.08066666666666666,0.084,0.082
397,180,6000,0.09066666666666667,0.08666666666666667,0.08266666666666667,0.08533333333333333,0.086,0.076,0.08133333333333333,0.08066666666666666,0.066,0.09266666666666666
398,190,6000,0.078,0.07866666666666666,0.07733333333333334,0.08466666666666667,0.08466666666666667,0.08266666666666667,0.06266666666666666,0.07533333333333334,0.08066666666666666,0.094
399,200,6000,0.07333333333333333,0.08266666666666667,0.074,0.08666666666666667,0.07533333333333334,0.07466666666666667,0.08466666666666667,0.08,0.07733333333333334,0.07333333333333333
